flight_id,group,policy,gamma,mode,seed,simulated_status,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256
0808_safemppi_g0.1_left_s41,safemppi_prominent_modes,SafeMPPI_0806_source,0.10000000149011612,left,41,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,safemppi/flight_references/safemppi_g0.1_left_s41_100hz.npz,deca2fc0c8eb94bc38e477adc1c8959e98b88e3ac7be42c9476ec8b780e994a8,safemppi/recordings/g0.1_s41/run_g0.1_s41.npz,4dce8f70da775bce579dd7762680430ef6ccbdd0ca5e901c7afd3bf436ce43e6
0808_safemppi_g0.3_above_s52,safemppi_prominent_modes,SafeMPPI_0806_source,0.30000001192092896,above,52,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,safemppi/flight_references/safemppi_g0.3_above_s52_100hz.npz,f6255924305774e4d2b9043a03f1a2feb7d2e719ad7f68f79ae88dbf88660c7c,safemppi/recordings/g0.3_s52/run_g0.3_s52.npz,efa245d1ac064a6136c2685cc58731cd2feaf67e827273e45fb5858a96c35074
0808_safemppi_g0.5_below_s12,safemppi_prominent_modes,SafeMPPI_0806_source,0.5,below,12,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,safemppi/flight_references/safemppi_g0.5_below_s12_100hz.npz,53c876744c950277bc9f7629d86af5a142d630e4eea2a04731eb2d7b3eb921a6,safemppi/recordings/g0.5_s12/run_g0.5_s12.npz,9078a796e8a9776f066e02cfbb802e9e30838bd15d2c4acef50fa1fa6020f701
0808_safemppi_g1_below_s48,safemppi_prominent_modes,SafeMPPI_0806_source,1.0,below,48,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,safemppi/flight_references/safemppi_g1_below_s48_100hz.npz,1c7404f95d8a5a843bfb02690c2d59a471ca21ac32285a7cf39c5c67f887200e,safemppi/recordings/g1.0_s48/run_g1_s48.npz,452880a6430025da071d9668b56364b38a7ed4b75c6b5105cb223dd1c774879c
