gamma,episodes,SR,CR,taskspace_violation_rate,avg_min_clearance_m,avg_time_to_goal_s,avg_plan_time_ms,avg_control_variation_mps2,avg_fraction_internal_states_below_z_bias_plane,avg_internal_z_m
0.1,8,1.0,0.0,0.0,0.25765263479519573,4.4625,7.747464020515003,0.8114188984036446,0.9575626861966237,1.7911956161260605
0.3,8,1.0,0.0,0.0,0.11511399865222244,4.325,7.459673964768022,0.7470401227474213,0.9770220588235294,1.8309692293405533
0.5,8,1.0,0.0,0.0,0.12950852552545822,4.7375,9.909086504322056,0.7534161880612373,0.9756944444444444,1.8125736713409424
1.0,8,1.0,0.0,0.0,0.11277558175927756,4.2125,9.336419272155716,0.779299721121788,0.9762779083431257,1.8166331350803375
