flight_id,view,method,regime,gamma,route,episode,seed,simulated_status,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256,source_group,source_row,checkpoint_sha256,config_sha256
0814_less_expanded_default_e47_s93739,paper-ready-less-expanded,Expanded_R1,,0.1,LRL,47,93739,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e47_seed_93739_100hz.npz,5a488e4dc18a92e49aba8a2bde73828b0181cb14fc42e874d7de00e0c6625a96,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,2,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e48_s93776,paper-ready-less-expanded,Expanded_R1,,0.1,LRR,48,93776,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e48_seed_93776_100hz.npz,4bb5f3f3ff3eaeb6880008ded25890cd00be1906746c0f3faf47afb7d473b877,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,3,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e24_s92888,paper-ready-less-expanded,Expanded_R1,,0.1,LLL,24,92888,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e24_seed_92888_100hz.npz,680d7594e28c2e94e7a4bcd7eee3b49543dfcbce61060deab9d10dea622964b4,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,4,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e4_s92148,paper-ready-less-expanded,Expanded_R1,,0.1,LRL,4,92148,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e4_seed_92148_100hz.npz,4cf482ca6f3bac534f27f4eb994ad5febe71499b94dd4ded6f4c8eaf921544ed,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,5,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e26_s92962,paper-ready-less-expanded,Expanded_R1,,0.1,LLL,26,92962,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e26_seed_92962_100hz.npz,d5813d729aae6041ba3f72641cc775c696ec6110a5d7068240e578de139bd8fa,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,6,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_less_expanded_default_e17_s92629,paper-ready-less-expanded,Expanded_R1,,0.1,LLL,17,92629,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/less_expanded/gamma_0p1_e17_seed_92629_100hz.npz,7ea9e52ae2aa7b9ba0f487a17a3c076493fe0a0f43396c50add9e108548ab3e9,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-less-expanded,7,7d5c5cc1f7e9b55ae2a803b8a3812264f38072cd74a416cd81b32b9810253f98,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e227_s100399,paper-ready-expanded,Expanded_S4,,0.1,LLL,227,100399,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e227_seed_100399_100hz.npz,e5912437868e8c138deffd49edc55bbbb83d43ea9bf3a10b81e0be9874cc1cef,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,0,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e230_s100510,paper-ready-expanded,Expanded_S4,,0.1,LLR,230,100510,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e230_seed_100510_100hz.npz,c0969dc4fda750c63503406247fa4076895f5b39fe9ccd12a9d42894a51ef285,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,1,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e260_s101620,paper-ready-expanded,Expanded_S4,,0.1,LRL,260,101620,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e260_seed_101620_100hz.npz,3cc5887648b5948ac792aa124fd59f8656cfe36316c4083613923113dd964a8a,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,2,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
0814_expanded_default_e297_s102989,paper-ready-expanded,Expanded_S4,,0.1,LRR,297,102989,SUCCESS,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,flight_references/expanded/gamma_0p1_e297_seed_102989_100hz.npz,4adcb2737d91c42f16f865d63e9ec4d3ae7c70da07ce3f0ce1cee9f287e03c0c,trajectories/paper_ready_bowling_handoff.pt,428115777e7185676a24df8686f58f1a5acd04edadfc76bc97f23d76e94fa2be,paper-ready-expanded,3,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc
