gamma,episodes,SR,CR,all_below_latitude0,all_crossed_under_disk,avg_max_abs_y_at_ball_m,avg_min_clearance_m,avg_time_to_goal_s,avg_max_z_under_ball_m,avg_symmetry_error_m,avg_max_abs_y_m,avg_mean_delta_u,avg_saturation_fraction
0.1,10,1.0,0.0,True,False,0.23793220147490501,0.22175264113627252,6.82,1.6582329511642455,0.17864894672662732,0.27100217863917353,0.41907717157446367,0.033580332703707125
0.3,10,1.0,0.0,True,False,0.1252123098820448,0.10359413741809262,6.390000000000001,1.758699858188629,0.22350518857863394,0.15831189677119256,0.3721859194930274,0.053760811591095546
0.5,10,1.0,0.0,True,False,0.1634296288713813,0.13382250839158602,6.359999999999999,1.721393382549286,0.19063382850822694,0.18891541585326194,0.37462706608448426,0.05394110561111896
1.0,10,1.0,0.0,True,False,0.1771780002862215,0.14503111031421093,6.500000000000002,1.7101526618003846,0.21038275149903907,0.22801059633493423,0.368634229412253,0.062459921946021915
