flight_id,view,method,gamma,route,seed,sampling_temperature,simulated_status,hard_real_geometry_pass,hard_z_pass,hard_goal_progress_pass,goal_reverse_step_count,z_band_occupancy,effective_sphere_min_clearance_m,string_min_clearance_m,hardware_eligibility,flight_reference,flight_reference_sha256,source_archive,source_archive_sha256,checkpoint_sha256,config_sha256,scene_sha256,samples,duration_s,max_dense_position_reconstruction_error_m,max_knot_position_reconstruction_error_m,max_knot_velocity_reconstruction_error_mps,max_speed_mps,max_vertical_speed_mps,max_applied_acceleration_component_mps2
0815_expanded_backup_LRR_s815145100,real-paper-ready-expanded-backup,Expanded_S4,0.3,LRR,815145100,1.4,SUCCESS,True,True,True,0,0.905982905982906,0.025932658020736465,,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,gamma_0p3_LRR_seed_815145100_100hz.npz,47e34c50a60579418bdd3aef76a478b93b9cc2836c0c6c5da497e8f756fa9e70,selected_trajectories.pt,8be13196807c76700ebb0def1554c0e36e46cdc5a6a380684c089a59724511b0,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,2ea063a0eea626c284f84dedc11efe2b2dd6d877e633c47e5cb105dd0eaa7258,1161,11.6,0.0,0.0,0.0,0.512457549571991,0.2198697328567505,0.2816653847694397
0815_expanded_backup_RLR_s815135084,real-paper-ready-expanded-backup,Expanded_S4,0.3,RLR,815135084,1.35,SUCCESS,True,True,True,0,0.9193548387096774,0.05347774613480816,0.0773395079922474,REQUIRES_OPERATOR_AND_HARDWARE_SAFETY_APPROVAL,gamma_0p3_RLR_seed_815135084_100hz.npz,c01457ca9805f65d47ffdf76b17e52b6fbf894730e7eae385b84f5f38a7714f8,selected_trajectories.pt,8be13196807c76700ebb0def1554c0e36e46cdc5a6a380684c089a59724511b0,a37f93091bfc88340b7f2bab0d41cb889ff59a2caf00d737e58e57fbfa4cdb52,baf3a8f3398cba147696ee783957b865968186e905279d1300a87477459792fc,2ea063a0eea626c284f84dedc11efe2b2dd6d877e633c47e5cb105dd0eaa7258,1851,18.5,0.0,0.0,0.0,0.42232319712638855,0.28622889518737793,0.28900015354156494
