gamma,episodes,SR,CR,taskspace_violation_rate,avg_min_clearance_m,avg_time_to_goal_s,avg_plan_time_ms,avg_control_variation_mps2,max_abs_control_mps2,max_abs_applied_control_mps2,max_peak_speed_mps,max_peak_vertical_speed_mps,deployment_speed_compatible_rate,avg_fraction_internal_states_below_z_bias_plane,avg_internal_z_m
0.1,50,1.0,0.0,0.0,0.1586498608131728,8.052,8.270651792501267,0.35870882093906403,0.30000001192092896,0.29999181628227234,0.7000000476837158,0.2273770272731781,1.0,0.9421321246519305,0.696166934967041
0.3,50,1.0,0.0,0.0,0.06133704621001906,7.684,8.09894234681016,0.30322848588228224,0.30000001192092896,0.29999101161956787,0.7000001072883606,0.27792036533355713,1.0,0.9461463959906095,0.6833819282054902
0.5,50,1.0,0.0,0.0,0.03705070948114647,7.662000000000001,8.294426908349038,0.2893855166435242,0.30000001192092896,0.299988329410553,0.7000001072883606,0.30000001192092896,1.0,0.9456147100243107,0.6834304106235504
1.0,50,1.0,0.0,0.0,0.029065312547957613,7.526,7.987650726707367,0.2739564910531044,0.30000001192092896,0.299988329410553,0.7000000476837158,0.30000001192092896,1.0,0.9370364888671304,0.6778763675689697
