gamma,seed,file,reference_success,reference_reached,reference_collision,reference_taskspace_violation,plant_success,plant_reached,plant_collision,plant_taskspace_violation,plant_true_soft_geofence_violation,plant_measured_soft_geofence_violation,plant_true_hard_geofence_violation,plant_measured_hard_geofence_violation,raw_action_cap_fraction,reference_speed_cap_fraction,reference_vertical_speed_cap_fraction,applied_action_cap_fraction,clearance_erosion_m,reference_min_clearance_m,plant_min_clearance_m,minimum_true_soft_geofence_margin_m,minimum_measured_soft_geofence_margin_m,minimum_true_hard_geofence_margin_m,minimum_measured_hard_geofence_margin_m,raw_reference_tracking_rmse_m,raw_reference_tracking_max_error_m,command_tracking_rmse_m,command_tracking_max_error_m,reference_command_rmse_m,command_clip_fraction,current_state_position_weight,peak_reference_speed_mps,peak_plant_speed_mps,peak_abs_plant_vertical_speed_mps,max_abs_applied_acceleration_mps2,time_to_goal_s
0.1,3,run_g0.1_s3.npz,True,True,False,False,False,True,False,True,True,True,False,False,0.7215189873417721,0.1620253164556962,0.0,0.0,0.18025718249291678,0.18184396771501043,0.0015867852220936562,-0.04458873271942143,-0.037378120422363326,0.10541126728057848,0.11262187957763659,0.3318714499473572,0.6420846581459045,0.09230251610279083,0.15710225701332092,0.24453651905059814,1.0,0.85,0.700004518032074,0.8718242049217224,0.24904456734657288,0.29998090863227844,8.152896034500015
0.3,1,run_g0.3_s1.npz,True,True,False,False,False,True,True,True,True,True,True,True,0.6623376623376623,0.3142857142857143,0.0,0.0,0.20107428131413962,0.08809314867070878,-0.11298113264343085,-0.6141753673553467,-0.554976511001587,-0.4641753673553468,-0.40497651100158705,0.6027173399925232,1.3947033882141113,0.1394537091255188,0.29253697395324707,0.4661337435245514,1.0,0.85,0.7000055313110352,1.1335610151290894,0.27448248863220215,0.29930976033210754,7.1898244688931765
0.5,4,run_g0.5_s4.npz,True,True,False,False,False,True,True,True,True,True,True,True,0.6,0.352,0.0,0.0,0.21013081363777295,0.04743387101032254,-0.1626969426274504,-0.7481179714202881,-0.6890130519866944,-0.5981179714202882,-0.5390130519866945,0.8074519038200378,1.5684473514556885,0.17009370028972626,0.30691051483154297,0.640433132648468,1.0,0.85,0.7000055909156799,1.0052193403244019,0.2978498339653015,0.29996955394744873,6.804351847558681
1.0,1,run_g1_s1.npz,True,True,False,False,False,True,True,True,True,True,True,True,0.56,0.3466666666666667,0.0,0.0,0.17849359900740042,0.004866909098011907,-0.1736266899093885,-0.5555828094482422,-0.5000732421875,-0.4055828094482423,-0.35007324218750013,0.6587936878204346,1.3029042482376099,0.14617566764354706,0.27312347292900085,0.5159080624580383,1.0,0.85,0.7000055313110352,1.0081762075424194,0.29704728722572327,0.29911231994628906,6.975636586516379
