gamma,episodes,SR,CR,taskspace_violation_rate,avg_min_clearance_m,avg_time_to_goal_s,avg_plan_time_ms,avg_control_variation_mps2,avg_fraction_internal_states_below_z_bias_plane,avg_internal_z_m
0.1,50,1.0,0.0,0.0,0.2660832965505874,4.498,6.088839433916377,0.8164048492908478,0.8710715885111908,1.7873700833320618
0.3,50,1.0,0.0,0.0,0.12114576720677807,4.268,6.129835816286211,0.7724293172359467,0.8743019029835805,1.8175441718101502
0.5,50,1.0,0.0,0.0,0.10834575956870314,4.49,6.739747969740725,0.7674036574363708,0.85426826708314,1.8300597500801086
1.0,50,1.0,0.0,0.0,0.09910625282998739,4.422,6.322385631929343,0.779810528755188,0.8409809213720727,1.8476642346382142
