gamma,attempts,accepted,attempt_SR,attempt_CR,attempt_OOB_rate,attempt_all_infeasible_rate,crossing_below_plane_fraction,below_fraction,above_fraction,left_fraction,right_fraction,mean_min_clearance_m,mean_time_to_goal_s,max_abs_raw_accel_mps2,max_abs_applied_accel_mps2,max_speed_mps,max_vertical_speed_mps,minimum_taskspace_margin_m,minimum_soft_geofence_margin_m,minimum_hard_geofence_margin_m,below_count,above_count,left_count,right_count
0.1,4,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.18184396771501043,7.9,0.30000001192092896,0.29998090863227844,0.7000000329733651,0.22453123331069946,0.15211520195007322,0.15211520195007322,0.30211520195007324,0,0,0,1
0.3,2,1,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.08809314867070878,7.7,0.30000001192092896,0.29930976033210754,0.7000000491950058,0.218199223279953,0.015717363357543923,0.015717363357543923,0.16571736335754395,1,0,0,0
0.5,5,1,0.4,0.6,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04743387101032254,7.5,0.30000001192092896,0.29996955394744873,0.7000000374878559,0.265653133392334,0.03279996514320371,0.03279996514320371,0.18279996514320374,1,0,0,0
1.0,2,1,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.004866909098011907,7.5,0.30000001192092896,0.29911231994628906,0.7000000500547955,0.2748264968395233,0.0054024815559386985,0.0054024815559386985,0.15540248155593872,1,0,0,0
