gamma,attempts,accepted,attempt_SR,attempt_CR,attempt_OOB_rate,attempt_all_infeasible_rate,crossing_below_plane_fraction,below_fraction,above_fraction,left_fraction,right_fraction,mean_min_clearance_m,mean_time_to_goal_s,max_abs_raw_accel_mps2,max_abs_applied_accel_mps2,max_speed_mps,max_vertical_speed_mps,minimum_taskspace_margin_m,minimum_soft_geofence_margin_m,minimum_hard_geofence_margin_m,below_count,above_count,left_count,right_count
0.1,85,50,1.0,0.0,0.0,0.8470588235294118,1.0,0.58,0.0,0.36,0.06,0.1586498608131728,8.052,0.30000001192092896,0.29999181628227234,0.7000000786024195,0.2273770272731781,0.03691048026084898,0.03691048026084898,0.186910480260849,29,0,18,3
0.3,90,50,0.8,0.2,0.0,0.9888888888888889,1.0,1.0,0.0,0.0,0.0,0.06133704621001906,7.684,0.30000001192092896,0.29999101161956787,0.7000000797699227,0.27792036533355713,0.007411307096481301,0.007411307096481301,0.15741130709648132,50,0,0,0
0.5,120,50,0.48333333333333334,0.5166666666666667,0.0,0.9916666666666667,1.0,1.0,0.0,0.0,0.0,0.03705070948114647,7.662000000000001,0.30000001192092896,0.299988329410553,0.7000000823396866,0.30000001192092896,0.002861177921295144,0.002861177921295144,0.15286117792129517,50,0,0,0
1.0,153,50,0.32679738562091504,0.6535947712418301,0.0196078431372549,0.9934640522875817,1.0,1.0,0.0,0.0,0.0,0.029065312547957613,7.526,0.30000001192092896,0.299988329410553,0.7000000769547371,0.30000001192092896,0.0013958573341369407,0.0013958573341369407,0.15139585733413696,50,0,0,0
