group,method,regime,gamma,episode,seed,status,route,source,row
paper-ready-safemppi,SafeMPPI,,0.1,628,245128,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,1
paper-ready-safemppi,SafeMPPI,,0.1,18,240018,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,2
paper-ready-safemppi,SafeMPPI,,0.1,1623,246523,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,3
paper-ready-safemppi,SafeMPPI,,0.1,1622,246522,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,4
paper-ready-safemppi,SafeMPPI,,0.1,1349,246249,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,5
paper-ready-safemppi,SafeMPPI,,0.1,1416,246316,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,6
paper-ready-safemppi,SafeMPPI,,0.1,1055,245555,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,7
paper-ready-safemppi,SafeMPPI,,0.3,2,241002,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,8
paper-ready-safemppi,SafeMPPI,,0.3,81,241081,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,9
paper-ready-safemppi,SafeMPPI,,0.3,69,241069,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,10
paper-ready-safemppi,SafeMPPI,,0.3,53,241053,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,11
paper-ready-safemppi,SafeMPPI,,0.3,38,241038,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,12
paper-ready-safemppi,SafeMPPI,,0.3,34,241034,SUCCESS,RRR,trajectories/paper_ready_bowling_handoff.pt,13
paper-ready-safemppi,SafeMPPI,,0.3,63,241063,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,14
paper-ready-safemppi,SafeMPPI,,0.3,8,241008,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,15
paper-ready-safemppi,SafeMPPI,,0.5,93,242093,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,16
paper-ready-safemppi,SafeMPPI,,0.5,4,242004,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,17
paper-ready-safemppi,SafeMPPI,,0.5,66,242066,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,18
paper-ready-safemppi,SafeMPPI,,0.5,14,242014,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,19
paper-ready-safemppi,SafeMPPI,,0.5,8,242008,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,20
paper-ready-safemppi,SafeMPPI,,0.5,5,242005,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,21
paper-ready-safemppi,SafeMPPI,,0.5,51,242051,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,22
paper-ready-safemppi,SafeMPPI,,0.5,33,242033,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,23
paper-ready-safemppi,SafeMPPI,,1.0,13,243013,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,24
paper-ready-safemppi,SafeMPPI,,1.0,91,243091,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,25
paper-ready-safemppi,SafeMPPI,,1.0,0,243000,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,26
paper-ready-safemppi,SafeMPPI,,1.0,65,243065,SUCCESS,RLR,trajectories/paper_ready_bowling_handoff.pt,27
paper-ready-safemppi,SafeMPPI,,1.0,26,243026,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,28
paper-ready-safemppi,SafeMPPI,,1.0,39,243039,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,29
paper-ready-safemppi,SafeMPPI,,1.0,12,243012,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,30
paper-ready-safemppi,SafeMPPI,,1.0,34,243034,SUCCESS,LRL,trajectories/paper_ready_bowling_handoff.pt,31
not-paper-ready-pre2,PRE2,,0.3,6,92222,SUCCESS,RRL,trajectories/paper_ready_bowling_handoff.pt,0
not-paper-ready-pre2,PRE2,,0.3,66,94442,SUCCESS,RLL,trajectories/paper_ready_bowling_handoff.pt,1
not-paper-ready-pre2,PRE2,,0.3,89,95293,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,2
not-paper-ready-pre2,PRE2,,0.3,25,92925,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,3
not-paper-ready-pre2,PRE2,,0.3,38,93406,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,4
not-paper-ready-pre2,PRE2,,0.3,11,92407,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,5
not-paper-ready-pre2,PRE2,,0.3,65,94405,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,6
not-paper-ready-pre2,PRE2,,0.3,42,93554,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,7
not-paper-ready-pre2,PRE2,,0.5,49,93813,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,8
not-paper-ready-pre2,PRE2,,0.5,30,93110,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,9
not-paper-ready-pre2,PRE2,,0.5,21,92777,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,10
not-paper-ready-pre2,PRE2,,0.5,43,93591,SUCCESS,LLR,trajectories/paper_ready_bowling_handoff.pt,11
not-paper-ready-pre2,PRE2,,0.5,19,92703,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,12
not-paper-ready-pre2,PRE2,,0.5,20,92740,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,13
not-paper-ready-pre2,PRE2,,0.5,46,93702,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,14
not-paper-ready-pre2,PRE2,,0.5,26,92962,SUCCESS,LLL,trajectories/paper_ready_bowling_handoff.pt,15
